Year,Month,Day,Hour,Minute,Second,HYY_META.T168
2016,1,4,1,30,0,-14.992666
2016,1,4,2,0,0,-14.578333
2016,1,4,2,30,0,-14.514334
2016,1,4,3,0,0,-14.439333
2016,1,4,3,30,0,-14.224
2016,1,4,4,0,0,-14.159
2016,1,4,4,30,0,-14.248
2016,1,4,5,0,0,-14.887333
2016,1,4,5,30,0,-14.973333
2016,1,4,6,0,0,-15.16
2016,1,4,6,30,0,-15.237667
2016,1,4,7,0,0,-15.47
2016,1,4,7,30,0,-15.630667
2016,1,4,8,0,0,-16.495667
2016,1,4,8,30,0,-17.105667
2016,1,4,9,0,0,-17.511667
2016,1,4,9,30,0,-17.800333
2016,1,4,10,0,0,-17.896
2016,1,4,10,30,0,-17.986666
2016,1,4,11,0,0,-17.953667
2016,1,4,11,30,0,-17.846333
2016,1,4,12,0,0,-17.675667
2016,1,4,12,30,0,-17.429
2016,1,4,13,0,0,-17.163666
2016,1,4,13,30,0,-16.996666
2016,1,4,14,0,0,-17.016666
2016,1,4,14,30,0,-16.991667
2016,1,4,15,0,0,-16.691
2016,1,4,15,30,0,-16.480333
2016,1,4,16,0,0,-16.447666
2016,1,4,16,30,0,-16.572332
2016,1,4,17,0,0,-16.724
2016,1,4,17,30,0,-17.098333
2016,1,4,18,0,0,-17.395666
2016,1,4,18,30,0,-17.61
2016,1,4,19,0,0,-17.770334
2016,1,4,19,30,0,-17.901333
2016,1,4,20,0,0,-18.209667
2016,1,4,20,30,0,-18.517666
2016,1,4,21,0,0,-18.875
2016,1,4,21,30,0,-19.209333
2016,1,4,22,0,0,-19.55
2016,1,4,22,30,0,-19.769667
2016,1,4,23,0,0,-19.941
2016,1,4,23,30,0,-20.022
2016,1,5,0,0,0,-19.946667
2016,1,5,0,30,0,-19.999
2016,1,5,1,0,0,-20.360332
2016,1,5,1,30,0,-20.500334
2016,1,5,2,0,0,-20.682333
2016,1,5,2,30,0,-20.876
2016,1,5,3,0,0,-20.944
2016,1,5,3,30,0,-21.179
2016,1,5,4,0,0,-21.443666
2016,1,5,4,30,0,-21.502333
2016,1,5,5,0,0,-21.386
