Year,Month,Day,Hour,Minute,Second,HYY_EDDY233.ET_gapf
2016,1,4,8,0,0,0.051
2016,1,4,8,30,0,0.05
2016,1,4,9,0,0,0.053
2016,1,4,9,30,0,0.055
2016,1,4,10,0,0,0.068
2016,1,4,10,30,0,0.07
2016,1,4,11,0,0,0.085
2016,1,4,11,30,0,0.092
2016,1,4,12,0,0,0.11
2016,1,4,12,30,0,0.124
2016,1,4,13,0,0,0.134
2016,1,4,13,30,0,0.113
2016,1,4,14,0,0,0.084
2016,1,4,14,30,0,0.088
2016,1,4,15,0,0,0.09
2016,1,4,15,30,0,0.089
2016,1,4,16,0,0,0.083
2016,1,4,16,30,0,0.087
2016,1,4,17,0,0,0.073
2016,1,4,17,30,0,0.08
2016,1,4,18,0,0,0.087
2016,1,4,18,30,0,0.088
2016,1,4,19,0,0,0.079
2016,1,4,19,30,0,0.065
2016,1,4,20,0,0,0.05
2016,1,4,20,30,0,0.051
2016,1,4,21,0,0,0.051
2016,1,4,21,30,0,0.051
2016,1,4,22,0,0,0.049
2016,1,4,22,30,0,0.051
2016,1,4,23,0,0,0.053
2016,1,4,23,30,0,0.054
2016,1,5,0,0,0,0.06
2016,1,5,0,30,0,0.057
2016,1,5,1,0,0,0.056
2016,1,5,1,30,0,0.055
2016,1,5,2,0,0,0.055
2016,1,5,2,30,0,0.054
2016,1,5,3,0,0,0.053
2016,1,5,3,30,0,0.052
2016,1,5,4,0,0,0.051
2016,1,5,4,30,0,0.058
2016,1,5,5,0,0,0.068
2016,1,5,5,30,0,0.075
2016,1,5,6,0,0,0.083
2016,1,5,6,30,0,0.081
2016,1,5,7,0,0,0.068
2016,1,5,7,30,0,0.078
2016,1,5,8,0,0,0.076
2016,1,5,8,30,0,0.059
2016,1,5,9,0,0,0.08
2016,1,5,9,30,0,0.081
2016,1,5,10,0,0,0.085
2016,1,5,10,30,0,0.094
2016,1,5,11,0,0,0.112
2016,1,5,11,30,0,0.129
2016,1,5,12,0,0,0.144
2016,1,5,12,30,0,0.147
2016,1,5,13,0,0,0.145
2016,1,5,13,30,0,0.125
2016,1,5,14,0,0,0.12
2016,1,5,14,30,0,0.091
2016,1,5,15,0,0,0.07
2016,1,5,15,30,0,0.063
2016,1,5,16,0,0,0.064
2016,1,5,16,30,0,0.064
2016,1,5,17,0,0,0.067
2016,1,5,17,30,0,0.066
2016,1,5,18,0,0,0.069
2016,1,5,18,30,0,0.068
2016,1,5,19,0,0,0.067
2016,1,5,19,30,0,0.065
2016,1,5,20,0,0,0.065
2016,1,5,20,30,0,0.064
2016,1,5,21,0,0,0.062
2016,1,5,21,30,0,0.064
2016,1,5,22,0,0,0.065
2016,1,5,22,30,0,0.064
2016,1,5,23,0,0,0.066
2016,1,5,23,30,0,0.068
2016,1,6,0,0,0,0.085
2016,1,6,0,30,0,0.082
2016,1,6,1,0,0,0.086
2016,1,6,1,30,0,-0.194
2016,1,6,2,0,0,0.086
2016,1,6,2,30,0,-0.534
2016,1,6,3,0,0,-0.124
2016,1,6,3,30,0,-0.469
2016,1,6,4,0,0,-0.059
2016,1,6,4,30,0,0.086
2016,1,6,5,0,0,0.086
2016,1,6,5,30,0,0.083
2016,1,6,6,0,0,0.085
2016,1,6,6,30,0,0.087
2016,1,6,7,0,0,0.084
2016,1,6,7,30,0,0.08
2016,1,6,8,0,0,0.08
2016,1,6,8,30,0,0.089
2016,1,6,9,0,0,0.084
2016,1,6,9,30,0,0.089
2016,1,6,10,0,0,0.102
2016,1,6,10,30,0,0.006
2016,1,6,11,0,0,-0.004
2016,1,6,11,30,0,0.055
2016,1,6,12,0,0,0.156
2016,1,6,12,30,0,-0.01
2016,1,6,13,0,0,0.088
2016,1,6,13,30,0,0.049
2016,1,6,14,0,0,-0.014
2016,1,6,14,30,0,-0.147
2016,1,6,15,0,0,0.09
2016,1,6,15,30,0,-0.08
2016,1,6,16,0,0,0.01
2016,1,6,16,30,0,0.043
2016,1,6,17,0,0,-0.035
2016,1,6,17,30,0,-0.025
2016,1,6,18,0,0,-0.016
2016,1,6,18,30,0,0.03
2016,1,6,19,0,0,-0.013
2016,1,6,19,30,0,-0.019
2016,1,6,20,0,0,0.087
2016,1,6,20,30,0,0.064
2016,1,6,21,0,0,-0.015
2016,1,6,21,30,0,-0.043
2016,1,6,22,0,0,0.005
2016,1,6,22,30,0,0.202
2016,1,6,23,0,0,0.455
2016,1,6,23,30,0,0.032
2016,1,7,0,0,0,0.228
2016,1,7,0,30,0,0.064
2016,1,7,1,0,0,0.382
2016,1,7,1,30,0,0.282
2016,1,7,2,0,0,0.186
2016,1,7,2,30,0,-0.187
2016,1,7,3,0,0,0.199
2016,1,7,3,30,0,0.261
2016,1,7,4,0,0,0.341
2016,1,7,4,30,0,0.226
2016,1,7,5,0,0,0.222
2016,1,7,5,30,0,0.214
2016,1,7,6,0,0,0.217
2016,1,7,6,30,0,0.316
2016,1,7,7,0,0,0.192
2016,1,7,7,30,0,0.143
2016,1,7,8,0,0,0.209
2016,1,7,8,30,0,0.217
2016,1,7,9,0,0,0.191
2016,1,7,9,30,0,0.156
2016,1,7,10,0,0,0.106
2016,1,7,10,30,0,0.164
2016,1,7,11,0,0,0.129
2016,1,7,11,30,0,0.046
2016,1,7,12,0,0,0.145
2016,1,7,12,30,0,0.05
2016,1,7,13,0,0,0.2
2016,1,7,13,30,0,0.18
2016,1,7,14,0,0,0.164
2016,1,7,14,30,0,0.116
2016,1,7,15,0,0,0.1
2016,1,7,15,30,0,0.091
2016,1,7,16,0,0,0.089
2016,1,7,16,30,0,0.105
2016,1,7,17,0,0,0.101
2016,1,7,17,30,0,0.123
2016,1,7,18,0,0,0.117
2016,1,7,18,30,0,0.106
2016,1,7,19,0,0,0.132
2016,1,7,19,30,0,0.122
2016,1,7,20,0,0,0.143
2016,1,7,20,30,0,0.144
2016,1,7,21,0,0,0.143
2016,1,7,21,30,0,0.136
2016,1,7,22,0,0,0.132
2016,1,7,22,30,0,0.128
2016,1,7,23,0,0,0.125
2016,1,7,23,30,0,0.132
2016,1,8,0,0,0,0.143
2016,1,8,0,30,0,0.145
2016,1,8,1,0,0,0.142
2016,1,8,1,30,0,0.179
2016,1,8,2,0,0,0.112
2016,1,8,2,30,0,0.134
2016,1,8,3,0,0,0.157
2016,1,8,3,30,0,0.156
2016,1,8,4,0,0,0.153
2016,1,8,4,30,0,0.128
2016,1,8,5,0,0,0.123
2016,1,8,5,30,0,0.106
2016,1,8,6,0,0,0.093
2016,1,8,6,30,0,0.085
2016,1,8,7,0,0,0.133
2016,1,8,7,30,0,0.117
2016,1,8,8,0,0,0.089
2016,1,8,8,30,0,0.08
2016,1,8,9,0,0,0.083
2016,1,8,9,30,0,0.062
2016,1,8,10,0,0,0.077
2016,1,8,10,30,0,0.088
2016,1,8,11,0,0,0.154
2016,1,8,11,30,0,0.13
2016,1,8,12,0,0,0.149
2016,1,8,12,30,0,0.179
2016,1,8,13,0,0,0.17
2016,1,8,13,30,0,0.105
2016,1,8,14,0,0,0.069
2016,1,8,14,30,0,0.069
2016,1,8,15,0,0,0.137
2016,1,8,15,30,0,0.152
2016,1,8,16,0,0,0.2
2016,1,8,16,30,0,0.162
2016,1,8,17,0,0,0.061
2016,1,8,17,30,0,0.059
2016,1,8,18,0,0,0.094
2016,1,8,18,30,0,0.107
2016,1,8,19,0,0,0.099
2016,1,8,19,30,0,0.059
2016,1,8,20,0,0,0.041
2016,1,8,20,30,0,0.085
2016,1,8,21,0,0,0.095
2016,1,8,21,30,0,0.102
2016,1,8,22,0,0,0.089
2016,1,8,22,30,0,0.057
