Datenum RHTd Global Event NonEvent
729568 NaN 303.971052631579 0 1
729569 NaN 360.186578947368 0 1
729571 NaN 281.576052631579 0 1
729572 NaN 335.795526315789 0 1
729573 NaN 360.361052631579 0 1
729574 NaN 270.178157894737 0 1
729576 NaN 220.016216216216 0 1
729578 NaN 218.822162162162 0 1
729579 NaN 304.221388888889 0 1
729580 NaN 134.280555555556 0 1
729582 NaN 218.6175 0 1
729588 NaN 335.206111111111 0 1
729589 NaN 266.156944444444 0 1
729590 NaN 343.566666666666 0 1
729591 NaN 363.363055555556 0 1
729593 NaN 310.859714285714 0 1
729594 NaN 228.685588235294 0 1
729595 NaN 310.163235294118 0 1
729596 NaN 242.309705882353 0 1
729597 NaN 209.355588235294 0 1
729646 NaN 134.3188 0 1
729649 NaN 97.5188 0 1
729655 NaN 197.963913043478 1 0
729658 NaN 204.712173913043 0 1
729659 NaN 232.110869565217 1 0
729660 NaN 231.124782608696 1 0
729661 NaN 89.1978260869565 0 1
729664 NaN 190.532727272727 0 1
729665 NaN 56.8240909090909 0 1
729666 NaN 68.2814285714286 0 1
729667 NaN 77.5928571428572 0 1
729668 NaN 68.9614285714286 0 1
729670 NaN 209.652857142857 1 0
729673 NaN 39.1515 0 1
729674 NaN 29.548 0 1
729675 NaN 30.202 0 1
729678 NaN 35.3710526315789 0 1
729685 NaN 128.381666666667 0 1
729686 NaN 103.337222222222 0 1
729689 NaN 67.4305882352941 0 1
729691 NaN 67.7405882352941 0 1
729692 NaN 61.8070588235294 0 1
729699 NaN 56.284375 0 1
729700 NaN 13.72 0 1
729702 NaN 10.4333333333333 0 1
729704 NaN 11.5746666666667 0 1
729705 NaN 18.2314285714286 0 1
729706 NaN 20.5528571428571 0 1
729710 NaN 24.8464285714286 0 1
729714 NaN 13.6330769230769 0 1
729715 NaN 14.4246153846154 0 1
729716 NaN 8.53 0 1
729717 NaN 7.41307692307692 0 1
729719 NaN 10.9076923076923 0 1
729720 NaN 15.0491666666667 0 1
729723 NaN 13.3363636363636 0 1
729724 NaN 23.1136363636364 0 1
729725 NaN 17.9463636363636 0 1
729726 NaN 9.63363636363636 0 1
729727 NaN 19.8309090909091 0 1
729730 NaN 14.0354545454545 0 1
729732 NaN 8.38727272727273 0 1
729733 NaN 6.04090909090909 0 1
729734 NaN 7.74181818181818 0 1
729735 NaN 5.26909090909091 0 1
729736 NaN 5.90181818181818 0 1
729737 NaN 7.75636363636364 0 1
729739 NaN 14.2245454545455 0 1
729741 NaN 8.275 0 1
729742 NaN 74.493 0 1
729744 NaN 11.894 0 1
729746 NaN 4.087 0 1
729749 NaN 7.686 0 1
729750 NaN 4.938 0 1
729752 NaN 11.577 0 1
729753 NaN 7.441 0 1
729754 NaN 7.204 0 1
729755 NaN 8.864 0 1
729756 NaN 17.914 0 1
729757 NaN 5.82 0 1
729758 NaN 7.198 0 1
729759 NaN 6.18636363636364 0 1
729760 NaN 5.00545454545454 0 1
729761 NaN 9.13833333333333 0 1
729762 NaN 10.655 0 1
729763 NaN 12.1525 0 1
729764 NaN 27.4616666666667 0 1
729765 NaN 5.5675 0 1
729767 NaN 11.9741666666667 0 1
729769 NaN 10.6041666666667 0 1
729771 NaN 6.22 0 1
729772 NaN 10.8833333333333 0 1
729774 NaN 13.8353846153846 0 1
729785 NaN 51.5093333333333 0 1
729786 NaN 76.4253333333333 1 0
729789 NaN 45.97 0 1
729791 NaN 95.841875 0 1
729793 NaN 13.4375 0 1
